kepid;kepoi_name;kepler_name;koi_disposition;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_period_err1;koi_period_err2;koi_time0bk;koi_time0bk_err1;koi_time0bk_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_prad;koi_prad_err1;koi_prad_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_model_snr;koi_tce_plnt_num;koi_tce_delivname;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_srad;koi_srad_err1;koi_srad_err2;ra;dec;koi_kepmag
10797460;K00752.01;Kepler-227 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;9.488.035.570;2,78E+02;-2,78E+02;1.705.387.500;2,16E+03;-2,16E+03;0.1460;0.3180;-0.1460;295.750;0.08190;-0.08190;6,16E+06;1,95E+04;-1,95E+04;2.26;2,60E+02;-1,50E+02;793.0;;;93.59;29.45;-16.65;35.80;1;q1_q17_dr25_tce;5455.00;81.00;-81.00;4.467;0.064;-0.096;0.9270;0.1050;-0.0610;291.934.230;48.141.651;15.347
10797460;K00752.02;Kepler-227 c;CONFIRMED;CANDIDATE;0.9690;0;0;0;0;54.418.382.700;2,48E+03;-2,48E+03;1.625.138.400;3,52E+03;-3,52E+03;0.5860;0.0590;-0.4430;450.700;0.11600;-0.11600;8,75E+06;3,55E+04;-3,55E+04;2.83;3,20E+02;-1,90E+02;443.0;;;9.11;2.87;-1.62;25.80;2;q1_q17_dr25_tce;5455.00;81.00;-81.00;4.467;0.064;-0.096;0.9270;0.1050;-0.0610;291.934.230;48.141.651;15.347
10811496;K00753.01;;CANDIDATE;CANDIDATE;0.0000;0;0;0;0;19.899.139.950;1,49E+02;-1,49E+02;1.758.502.520;5,81E+02;-5,81E+02;0.9690;51.260;-0.0770;178.220;0.03410;-0.03410;1,08E+08;1,71E+05;-1,71E+05;14.60;3,92E+03;-1,31E+03;638.0;;;39.30;31.04;-10.49;76.30;1;q1_q17_dr25_tce;5853.00;158.00;-176.00;4.544;0.044;-0.176;0.8680;0.2330;-0.0780;297.004.820;48.134.129;15.436
10848459;K00754.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;1;0;0;1.736.952.453;2,63E+00;-2,63E+00;1.703.075.650;1,15E+02;-1,15E+02;12.760;0.1150;-0.0920;240.641;0.00537;-0.00537;8,08E+07;1,28E+04;-1,28E+04;33.46;8,50E+03;-2,83E+03;1395.0;;;891.96;668.95;-230.35;505.60;1;q1_q17_dr25_tce;5805.00;157.00;-174.00;4.564;0.053;-0.168;0.7910;0.2010;-0.0670;285.534.610;48.285.210;15.597
10854555;K00755.01;Kepler-664 b;CONFIRMED;CANDIDATE;10.000;0;0;0;0;2.525.591.777;3,76E+01;-3,76E+01;1.715.955.500;1,13E+03;-1,13E+03;0.7010;0.2350;-0.4780;165.450;0.04200;-0.04200;6,03E+06;1,69E+04;-1,69E+04;2.75;8,80E+02;-3,50E+02;1406.0;;;926.16;874.33;-314.24;40.90;1;q1_q17_dr25_tce;6031.00;169.00;-211.00;4.438;0.070;-0.210;10.460;0.3340;-0.1330;288.754.880;48.226.200;15.509
10872983;K00756.01;Kepler-228 d;CONFIRMED;CANDIDATE;10.000;0;0;0;0;11.094.320.540;2,04E+02;-2,04E+02;1.712.011.600;1,41E+03;-1,41E+03;0.5380;0.0300;-0.4280;459.450;0.06100;-0.06100;1,52E+07;2,42E+04;-2,42E+04;3.90;1,27E+03;-4,20E+02;835.0;;;114.81;112.85;-36.70;66.50;1;q1_q17_dr25_tce;6046.00;189.00;-232.00;4.486;0.054;-0.229;0.9720;0.3150;-0.1050;296.286.130;48.224.670;15.714
10872983;K00756.02;Kepler-228 c;CONFIRMED;CANDIDATE;10.000;0;0;0;0;4.134.435.120;1,05E+02;-1,05E+02;1.729.793.700;1,90E+03;-1,90E+03;0.7620;0.1390;-0.5320;314.020;0.06730;-0.06730;6,86E+06;1,87E+04;-1,87E+04;2.77;9,00E+02;-3,00E+02;1160.0;;;427.65;420.33;-136.70;40.20;2;q1_q17_dr25_tce;6046.00;189.00;-232.00;4.486;0.054;-0.229;0.9720;0.3150;-0.1050;296.286.130;48.224.670;15.714
10872983;K00756.03;Kepler-228 b;CONFIRMED;CANDIDATE;0.9920;0;0;0;0;2.566.588.970;1,78E+02;-1,78E+02;1.795.543.700;4,61E+03;-4,61E+03;0.7550;0.2120;-0.5230;242.900;0.16500;-0.16500;2,27E+06;1,68E+04;-1,68E+04;1.59;5,20E+02;-1,70E+02;1360.0;;;807.74;793.91;-258.20;15.00;3;q1_q17_dr25_tce;6046.00;189.00;-232.00;4.486;0.054;-0.229;0.9720;0.3150;-0.1050;296.286.130;48.224.670;15.714
6721123;K00114.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;1;1;0;7.361.789.580;2,13E+02;-2,13E+02;1.322.505.300;2,53E+03;-2,53E+03;11.690;71.330;-0.0440;502.200;0.13600;-0.13600;2,34E+06;5,80E+03;-5,80E+03;39.21;6,45E+03;-9,67E+03;1342.0;;;767.22;349.28;-365.49;47.70;1;q1_q17_dr25_tce;6227.00;111.00;-124.00;3.986;0.182;-0.098;19.580;0.3220;-0.4830;298.864.350;42.151.569;12.660
10910878;K00757.01;Kepler-229 c;CONFIRMED;CANDIDATE;10.000;0;0;0;0;16.068.646.740;1,09E+02;-1,09E+02;1.736.219.370;5,17E+02;-5,17E+02;0.0520;0.2620;-0.0520;353.470;0.02410;-0.02410;4,91E+07;3,33E+04;-3,33E+04;5.76;2,20E+02;-4,90E+02;600.0;;;30.75;4.46;-6.66;161.90;1;q1_q17_dr25_tce;5031.00;75.00;-83.00;4.485;0.083;-0.028;0.8480;0.0330;-0.0720;286.999.480;48.375.790;15.841
11446443;K00001.01;Kepler-1 b;CONFIRMED;CANDIDATE;0.8110;0;0;0;0;2.470.613.377;2,70E-01;-2,70E-01;1.227.633.050;8,70E+00;-8,70E+00;0.8180;0.0010;-0.0010;174.319;0.00107;-0.00107;1,42E+08;4,20E+03;-4,20E+03;13.04;5,10E+02;-5,10E+02;1339.0;;;761.46;106.21;-95.76;4304.30;1;q1_q17_dr25_tce;5820.00;78.00;-78.00;4.457;0.024;-0.024;0.9640;0.0380;-0.0380;286.808.470;49.316.399;11.338
10666592;K00002.01;Kepler-2 b;CONFIRMED;CANDIDATE;10.000;0;1;0;0;2.204.735.417;4,30E-01;-4,30E-01;1.213.585.417;1,60E+01;-1,60E+01;0.2240;0.1590;-0.2160;388.864;0.00203;-0.00203;6,67E+07;1,70E+03;-1,70E+03;16.10;8,10E+02;-9,10E+02;2048.0;;;4148.92;651.59;-654.46;5945.90;1;q1_q17_dr25_tce;6440.00;76.00;-89.00;4.019;0.033;-0.027;19.520;0.0990;-0.1100;292.247.280;47.969.521;10.463
6922244;K00010.01;Kepler-8 b;CONFIRMED;CANDIDATE;0.9980;0;0;0;0;3.522.498.429;1,98E+00;-1,98E+00;1.211.194.228;4,71E+01;-4,71E+01;0.6310;0.0070;-0.0070;319.843;0.00653;-0.00653;9,15E+07;6,60E+03;-6,60E+03;14.59;1,11E+03;-1,11E+03;1521.0;;;1264.67;307.23;-276.48;1741.50;1;q1_q17_dr25_tce;6225.00;112.00;-137.00;4.169;0.055;-0.045;14.510;0.1100;-0.1100;281.288.120;42.451.080;13.563
10984090;K00112.02;Kepler-466 c;CONFIRMED;CANDIDATE;10.000;0;0;0;0;3.709.214.104;6,54E+01;-6,54E+01;1.339.831.800;1,43E+03;-1,43E+03;0.0510;0.3950;-0.0510;263.020;0.04270;-0.04270;1,31E+06;3,00E+03;-3,00E+03;1.16;1,70E+02;-1,20E+02;1206.0;;;500.46;197.96;-130.54;50.60;2;q1_q17_dr25_tce;5833.00;105.00;-117.00;4.407;0.085;-0.114;10.220;0.1430;-0.1070;295.648.710;48.495.560;12.772
10419211;K00742.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;1;0;0;11.521.446.064;1,98E+01;-1,98E+01;1.708.396.880;1,31E+02;-1,31E+02;24.830;28.510;-0.6730;363.990;0.01140;-0.01140;1,80E+08;3,19E+04;-3,19E+04;150.51;3,98E+04;-1,33E+04;753.0;;;75.88;58.89;-19.99;622.10;1;q1_q17_dr25_tce;5795.00;155.00;-172.00;4.554;0.033;-0.176;0.8480;0.2240;-0.0750;297.079.930;47.597.401;15.472
10464078;K00743.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;1;0;0;19.403.937.760;2,07E+02;-2,07E+02;1.724.842.530;8,42E+02;-8,42E+02;0.8040;0.0070;-0.0050;1.221.550;0.05980;-0.05980;8,92E+07;5,33E+04;-5,33E+04;7.18;7,60E+02;-6,80E+02;523.0;;;17.69;6.66;-4.88;214.70;1;q1_q17_dr25_tce;5043.00;151.00;-151.00;4.591;0.072;-0.048;0.6800;0.0720;-0.0650;289.258.210;47.635.319;15.487
10480982;K00744.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;1;0;0;19.221.388.942;1,12E+01;-1,12E+01;1.845.521.637;4,50E+01;-4,50E+01;10.650;0.0310;-0.0340;479.843;0.00235;-0.00235;7,43E+08;2,19E+04;-2,19E+04;49.29;1,60E+04;-5,00E+03;698.0;;;55.97;54.55;-16.40;2317.00;1;q1_q17_dr25_tce;6117.00;182.00;-200.00;4.496;0.052;-0.208;0.9470;0.3080;-0.0960;295.814.540;47.690.350;15.341
10485250;K00745.01;;FALSE POSITIVE;FALSE POSITIVE;0.0000;0;1;0;0;16.469.837.740;1,36E+02;-1,36E+02;1.808.817.610;6,23E+02;-6,23E+02;0.2920;0.1180;-0.1010;943.780;0.06000;-0.06000;1,05E+08;3,99E+04;-3,99E+04;7.94;8,90E+02;-8,90E+02;595.0;;;29.61;12.01;-8.91;303.40;1;q1_q17_dr25_tce;5152.00;168.00;-153.00;4.517;0.088;-0.072;0.7860;0.0880;-0.0880;297.154.420;47.668.701;15.788
